Original,Adjusted
38.7455,26.2923
11.133,5.96611
6.51021,9.94638
0,11.055
19.043,11.4225
12.5395,4.93576
2.24734,8.68874
7.881,8.19231
29.5553,26.4431
12.2712,0.153747
9.56207,-2.63493
9.11379,9.72132
0,1.22251
41.5652,20.947
0,1.49208
0,-9.55338
0,12.1707
17.1587,10.8402
0,5.32485
16.278,11.089
16.1971,7.50969
1.83241,10.2155
0,11.354
1.08184,-2.06185
4.60887,9.70441
0,4.09812
0,10.4322
0,6.02421
16.6788,2.69922
0,14.0766
11.0502,15.2669
11.258,11.3704
0,5.87271
0,11.2373
0,10.2327
1.37802,3.59041
12.8467,10.4842
68.5455,39.7561
25.0036,10.9414
20.7439,17.6696
17.413,15.9741
3.8656,-5.47062
0,18.1297
0,15.8528
0,18.4988
1.0733,-5.35355
7.55583,2.87423
11.9945,6.78132
9.79881,19.5611
0,6.7168
0,1.24717
0,6.2008
23.3523,19.4815
22.4754,1.66818
5.34522,16.6569
43.3099,32.536
8.91393,11.4958
0,14.6732
10.3774,5.3287
0,-1.8429
56.2024,38.6582
15.0697,5.52031
10.6367,-0.722737
25.5132,15.5772
14.6646,11.6007
1.71912,-8.90322
0,3.48958
17.8465,6.4693
35.469,24.3455
3.9694,9.63714
0,16.2641
19.0227,15.0517
14.3906,2.00851
0,7.67997
22.6357,14.432
32.7557,13.2969
0,6.0877
0,16.5106
2.98521,8.84982
0.566146,11.9305
33.1453,12.598
10.0308,13.1881
85.7062,46.7865
0,-3.04057
12.8088,6.58124
17.345,12.0117
0,16.0027
14.7433,14.4064
0,12.0745
0,0.948875
0,10.3493
0,11.6689
37.4415,26.4901
24.1611,11.0521
0,0.596439
47.5252,31.1704
15.1071,12.9043
0,2.71931
13.3756,10.9555
0,4.93797
26.9333,9.8154
1.57333,4.49161
0,3.53955
22.9802,7.38252
21.7291,12.2248
0,11.8883
0,9.52794
0,11.3191
5.12189,1.21005
13.1739,8.71182
27.416,14.4336
19.7815,7.55009
3.10057,3.29177
0,11.9203
0,8.22495
1.24041,-2.35364
2.17511,-1.40284
0,20.5725
0,10.9428
32.3238,33.3167
0,6.52597
12.6487,4.89016
0,7.81871
0,8.13349
23.5674,24.7045
0,12.8306
6.82854,-0.393226
1.34827,4.3051
0,11.1751
9.49998,1.504
2.30092,8.1717
13.8597,12.2024
9.54596,12.867
0,1.60894
0,-0.566351
0,4.92943
28.511,3.67337
0,13.9846
0,6.23376
0,9.7877
51.4758,24.1314
0.117999,-6.59071
0,10.3832
0,8.70873
0,11.6989
0,2.96
20.5615,4.25454
7.45163,4.46574
0,13.7517
0,3.86979
14.0948,6.37912
0,6.25478
0,12.014
1.63255,3.78157
11.4521,5.0239
0,3.08456
8.54824,3.17111
12.6081,7.06334
0,11.1356
0,6.99174
10.9876,6.16167
40.7876,11.3798
13.0541,1.81941
15.9442,9.42432
3.61655,0.249348
0,9.80685
26.7132,18.4017
0,8.49052
0,7.88644
0,9.79068
0,4.32726
5.68184,14.1306
34.9901,19.9003
4.07137,2.75055
16.5195,0.991133
2.13094,5.3357
9.60921,3.77918
0,12.3156
8.67815,3.23022
0,11.4723
17.3673,13.0437
0,16.612
44.4332,24.4737
0,-3.91538
0,-3.46369
0,12.4078
24.6056,18.9475
0,-2.56829
37.4919,20.3074
15.0502,10.435
0,13.5336
0,12.4624
0,23.5651
0,4.35395
0,9.95104
1.27377,6.89077
30.4822,20.7836
0,11.5286
0,5.287
21.1092,18.395
32.4815,13.2684
0,15.6972
0,6.08284
0,4.333
25.5021,6.25302
35.5175,28.4336
8.10531,2.54827
0,5.54278
15.5361,6.4255
22.6462,15.9355
0.155493,0.618825
7.13429,-2.57386
0,17.4517
27.2224,8.56013
0,3.44777
0,3.06436
4.17601,11.0776
6.87171,5.50137
9.65211,-0.846169
17.0614,21.425
0,0.15652
0,25.4748
19.455,2.8638
0,11.3709
0,16.9645
0,4.4871
0,6.38162
27.2817,24.6679
0,1.56828
6.86537,14.2353
0,9.92097
10.7854,12.5817
0.178428,7.76055
0,6.4419
0,13.1487
17.3261,-7.94173
0,3.41016
0,8.95037
38.0419,20.8081
0,15.6705
6.87923,4.09936
28.8209,14.173
0,-3.05187
0,-8.09944
11.1376,-3.53508
